Name of the anime,Rating,Ranking,Followers,Type,Episodes,License,Study,Genre,Demographics,Age
Death Note,8.63,1,"3,150,451",TV,37,VIZ Media,Madhouse,"Mystery,Supernatural,Suspense",Shounen,R - 17+ (violence & profanity)
Shingeki no Kyojin,8.52,2,"3,136,959",TV,25,Funimation,Wit Studio,"Action,Drama,Fantasy,Mystery",Shounen,R - 17+ (violence & profanity)
Fullmetal Alchemist: Brotherhood,9.16,3,"2,674,846",TV,64,"Funimation,Aniplex of America",Bones,"Action,Adventure,Comedy,Drama,Fantasy",Shounen,R - 17+ (violence & profanity)
Sword Art Online,7.21,4,"2,583,874",TV,25,Aniplex of America,A-1 Pictures,"Action,Adventure,Fantasy,Romance",NULL,PG-13 - Teens 13 or older
One Punch Man,8.52,5,"2,577,610",TV,12,VIZ Media,Madhouse,"Action,Comedy,Sci-Fi,Supernatural",NULL,R - 17+ (violence & profanity)
Boku no Hero Academia,7.99,6,"2,420,486",TV,13,Funimation,Bones,"Action,Comedy",Shounen,PG-13 - Teens 13 or older
Tokyo Ghoul,7.8,7,"2,311,281",TV,12,Funimation,Studio Pierrot,"Action,Drama,Horror,Mystery,Supernatural",Seinen,R - 17+ (violence & profanity)
Naruto,7.95,8,"2,288,738",TV,220,VIZ Media,Studio Pierrot,"Action,Adventure,Comedy",Shounen,PG-13 - Teens 13 or older
Kimi no Na wa.,8.89,9,"2,160,503",Movie,1,"Funimation,NYAV Post",CoMix Wave Films,"Drama,Romance,Supernatural",NULL,PG-13 - Teens 13 or older
Hunter x Hunter (2011),9.06,10,"2,149,088",TV,148,VIZ Media,Madhouse,"Action,Adventure,Fantasy",Shounen,PG-13 - Teens 13 or older
Steins Gate,9.09,11,"2,090,281",TV,24,Funimation,White Fox,"Drama,Sci-Fi,Suspense",NULL,PG-13 - Teens 13 or older
Kimetsu no Yaiba,8.57,12,"2,101,403",TV,26,Aniplex of America,ufotable,"Action,Supernatural",Shounen,R - 17+ (violence & profanity)
Shingeki no Kyojin Season 2,8.49,13,"2,081,210",TV,12,Funimation,Wit Studio,"Action,Drama,Fantasy,Mystery",Shounen,R - 17+ (violence & profanity)
No Game No Life,8.13,14,"2,024,927",TV,12,Sentai Filmworks,Madhouse,"Adventure,Comedy,Fantasy,Supernatural,Ecchi",NULL,PG-13 - Teens 13 or older
Boku no Hero Academia 2nd Season,8.21,15,"2,033,496",TV,25,Funimation,Bones,"Action,Comedy",Shounen,PG-13 - Teens 13 or older
Naruto: Shippuuden,8.22,16,"1,925,747",TV,500,VIZ Media,Studio Pierrot,"Action,Adventure,Comedy",Shounen,PG-13 - Teens 13 or older
Code Geass: Hangyaku no Lelouch,8.71,17,"1,855,397",TV,25,"Funimation,Bandai Entertainment",Sunrise,"Action,Drama,Sci-Fi",NULL,R - 17+ (violence & profanity)
Toradora!,8.14,18,"1,846,438",TV,25,"NIS America,Inc.",J.C.Staff,"Comedy,Romance,Slice of Life",NULL,PG-13 - Teens 13 or older
Noragami,7.98,19,"1,806,877",TV,12,Funimation,Bones,"Action,Adventure,Comedy,Supernatural",Shounen,PG-13 - Teens 13 or older
Angel Beats!,8.1,20,"1,802,143",TV,13,"Sentai Filmworks,Aniplex of America",P.A. Works,"Action,Comedy,Drama,Supernatural",NULL,PG-13 - Teens 13 or older
Re:Zero kara Hajimeru Isekai Seikatsu,8.26,21,"1,786,558",TV,25,Funimation,White Fox,"Drama,Fantasy,Suspense",NULL,R - 17+ (violence & profanity)
Shigatsu wa Kimi no Uso,8.69,22,"1,781,022",TV,22,Aniplex of America,A-1 Pictures,"Drama,Romance",Shounen,PG-13 - Teens 13 or older
Koe no Katachi,8.97,23,"1,778,422",Movie,1,"Eleven Arts,NYAV Post",Kyoto Animation,NULL,Shounen,PG-13 - Teens 13 or older
Mirai Nikki (TV),7.48,24,"1,735,201",TV,26,Funimation,asread.,"Action,Mystery,Supernatural,Suspense",Shounen,R+ - Mild Nudity
Boku no Hero Academia 3rd Season,8.14,25,"1,734,169",TV,25,Funimation,Bones,"Action,Comedy",Shounen,PG-13 - Teens 13 or older
Shingeki no Kyojin Season 3,8.62,26,"1,723,501",TV,12,Funimation,Wit Studio,"Action,Drama,Fantasy,Mystery",Shounen,R - 17+ (violence & profanity)
Akame ga Kill!,7.48,27,"1,703,885",TV,24,Sentai Filmworks,White Fox,"Action,Adventure,Drama,Fantasy",Shounen,R - 17+ (violence & profanity)
One Piece,8.6,28,"1,691,468",TV,Unknown,"Funimation,4Kids Entertainment",Toei Animation,"Action,Adventure,Comedy,Drama,Fantasy",Shounen,PG-13 - Teens 13 or older
Nanatsu no Taizai,7.76,29,"1,704,679",TV,24,Funimation,A-1 Pictures,"Action,Adventure,Fantasy,Supernatural",Shounen,PG-13 - Teens 13 or older
Boku dake ga Inai Machi,8.33,30,"1,683,370",TV,12,Aniplex of America,A-1 Pictures,"Mystery,Supernatural",Seinen,R - 17+ (violence & profanity)
Sword Art Online II,6.72,31,"1,664,345",TV,24,Aniplex of America,A-1 Pictures,"Action,Adventure,Fantasy,Romance",NULL,PG-13 - Teens 13 or older
Ao no Exorcist,7.54,32,"1,633,243",TV,25,Aniplex of America,A-1 Pictures,"Action,Fantasy,Supernatural",Shounen,PG-13 - Teens 13 or older
Shingeki no Kyojin Season 3 Part 2,9.09,33,"1,595,087",TV,10,Funimation,Wit Studio,"Action,Drama,Fantasy,Mystery",Shounen,R - 17+ (violence & profanity)
